"Pat","Var","Net","Nvl","Prf","Pdt","Arg","Res"
"  9","---","---","---","---","---","---","xxx"
" 10","---","---","---","---","---","ref","ooo"
" 11","---","---","---","---","dat","---","xxx"
" 12","---","---","---","---","dat","ref","xxx"
" 13","---","---","---","ref","---","---","ne2"
" 14","---","---","---","ref","---","ref","ooo"
" 15","---","---","---","ref","dat","---","ne2"
" 16","---","---","---","ref","dat","ref","xxx"
" 17","---","---","val","---","---","---","xxx"
" 18","---","---","val","---","---","ref","xxx"
" 19","---","---","val","---","dat","---","xxx"
" 20","---","---","val","---","dat","ref","xxx"
" 21","---","---","val","ref","---","---","xxx"
" 22","---","---","val","ref","---","ref","xxx"
" 23","---","---","val","ref","dat","---","xxx"
" 24","---","---","val","ref","dat","ref","xxx"
" 25","---","ref","---","---","---","---","ne2"
" 26","---","ref","---","---","---","ref","xxx"
" 27","---","ref","---","---","dat","---","ne2"
" 28","---","ref","---","---","dat","ref","xxx"
" 29","---","ref","---","ref","---","---","xxx"
" 30","---","ref","---","ref","---","ref","xxx"
" 31","---","ref","---","ref","dat","---","xxx"
" 32","---","ref","---","ref","dat","ref","xxx"
" 33","---","ref","val","---","---","---","xxx"
" 34","---","ref","val","---","---","ref","ne2"
" 35","---","ref","val","---","dat","---","xxx"
" 36","---","ref","val","---","dat","ref","xxx"
" 37","---","ref","val","ref","---","---","ne2"
" 38","---","ref","val","ref","---","ref","ne2"
" 39","---","ref","val","ref","dat","---","ne2"
" 40","---","ref","val","ref","dat","ref","xxx"
" 41","ref","---","---","---","---","---","ne1"
" 42","ref","---","---","---","---","ref","xxx"
" 43","ref","---","---","---","dat","---","xxx"
" 44","ref","---","---","---","dat","ref","xxx"
" 45","ref","---","---","ref","---","---","ne1"
" 46","ref","---","---","ref","---","ref","xxx"
" 47","ref","---","---","ref","dat","---","xxx"
" 48","ref","---","---","ref","dat","ref","xxx"
" 49","ref","---","val","---","---","---","xxx"
" 50","ref","---","val","---","---","ref","ne1"
" 51","ref","---","val","---","dat","---","xxx"
" 52","ref","---","val","---","dat","ref","xxx"
" 53","ref","---","val","ref","---","---","xxx"
" 54","ref","---","val","ref","---","ref","ne1"
" 55","ref","---","val","ref","dat","---","xxx"
" 56","ref","---","val","ref","dat","ref","xxx"
" 57","ref","ref","---","---","---","---","xxx"
" 58","ref","ref","---","---","---","ref","xxx"
" 59","ref","ref","---","---","dat","---","xxx"
" 60","ref","ref","---","---","dat","ref","xxx"
" 61","ref","ref","---","ref","---","---","xxx"
" 62","ref","ref","---","ref","---","ref","xxx"
" 63","ref","ref","---","ref","dat","---","xxx"
" 64","ref","ref","---","ref","dat","ref","xxx"
" 65","ref","ref","val","---","---","---","ne1ne2"
" 66","ref","ref","val","---","---","ref","ne1"
" 67","ref","ref","val","---","dat","---","xxx"
" 68","ref","ref","val","---","dat","ref","xxx"
" 69","ref","ref","val","ref","---","---","ne1ne2"
" 70","ref","ref","val","ref","---","ref","ne1"
" 71","ref","ref","val","ref","dat","---","xxx"
" 72","ref","ref","val","ref","dat","ref","xxx"
